V2	V(out)	V(n002)
0.000000000000000e+00	5.000000e+00	0.000000e+00
1.000000000000000e-02	4.999990e+00	1.000000e-02
2.000000000000000e-02	4.999959e+00	2.000000e-02
3.000000000000000e-02	4.999909e+00	3.000000e-02
4.000000000000000e-02	4.999838e+00	4.000000e-02
5.000000000000000e-02	4.999747e+00	5.000000e-02
6.000000000000000e-02	4.999635e+00	6.000000e-02
7.000000000000001e-02	4.999503e+00	7.000000e-02
8.000000000000000e-02	4.999349e+00	8.000000e-02
9.000000000000000e-02	4.999175e+00	9.000000e-02
1.000000000000000e-01	4.998979e+00	1.000000e-01
1.100000000000000e-01	4.998763e+00	1.100000e-01
1.200000000000000e-01	4.998524e+00	1.200000e-01
1.300000000000000e-01	4.998264e+00	1.300000e-01
1.400000000000000e-01	4.997983e+00	1.400000e-01
1.500000000000000e-01	4.997680e+00	1.500000e-01
1.600000000000000e-01	4.997355e+00	1.600000e-01
1.700000000000000e-01	4.997007e+00	1.700000e-01
1.800000000000000e-01	4.996638e+00	1.800000e-01
1.900000000000000e-01	4.996246e+00	1.900000e-01
2.000000000000000e-01	4.995831e+00	2.000000e-01
2.100000000000000e-01	4.995394e+00	2.100000e-01
2.200000000000000e-01	4.994935e+00	2.200000e-01
2.300000000000000e-01	4.994452e+00	2.300000e-01
2.400000000000000e-01	4.993946e+00	2.400000e-01
2.500000000000000e-01	4.993416e+00	2.500000e-01
2.600000000000000e-01	4.992864e+00	2.600000e-01
2.700000000000000e-01	4.992287e+00	2.700000e-01
2.800000000000000e-01	4.991687e+00	2.800000e-01
2.900000000000000e-01	4.991064e+00	2.900000e-01
3.000000000000000e-01	4.990416e+00	3.000000e-01
3.100000000000000e-01	4.989743e+00	3.100000e-01
3.200000000000000e-01	4.989047e+00	3.200000e-01
3.300000000000000e-01	4.988326e+00	3.300000e-01
3.400000000000000e-01	4.987580e+00	3.400000e-01
3.500000000000000e-01	4.986809e+00	3.500000e-01
3.600000000000000e-01	4.986013e+00	3.600000e-01
3.700000000000000e-01	4.985192e+00	3.700000e-01
3.800000000000000e-01	4.984345e+00	3.800000e-01
3.900000000000000e-01	4.983473e+00	3.900000e-01
4.000000000000000e-01	4.982575e+00	4.000000e-01
4.100000000000000e-01	4.981652e+00	4.100000e-01
4.200000000000000e-01	4.980701e+00	4.200000e-01
4.300000000000000e-01	4.979725e+00	4.300000e-01
4.400000000000000e-01	4.978722e+00	4.400000e-01
4.500000000000000e-01	4.977692e+00	4.500000e-01
4.600000000000000e-01	4.976636e+00	4.600000e-01
4.700000000000000e-01	4.975552e+00	4.700000e-01
4.800000000000000e-01	4.974441e+00	4.800000e-01
4.900000000000000e-01	4.973302e+00	4.900000e-01
5.000000000000000e-01	4.972136e+00	5.000000e-01
5.100000000000000e-01	4.970942e+00	5.100000e-01
5.200000000000000e-01	4.969719e+00	5.200000e-01
5.300000000000000e-01	4.968468e+00	5.300000e-01
5.400000000000000e-01	4.967188e+00	5.400000e-01
5.500000000000000e-01	4.965880e+00	5.500000e-01
5.600000000000001e-01	4.964543e+00	5.600000e-01
5.700000000000001e-01	4.963176e+00	5.700000e-01
5.800000000000000e-01	4.961780e+00	5.800000e-01
5.900000000000000e-01	4.960354e+00	5.900000e-01
6.000000000000000e-01	4.958899e+00	6.000000e-01
