Parameter,Value,Unit
VOH,5.0,V
VOL,2.002632e-07,V
VM,2.4,V
VIL,1.5378884462151494,V
VIH,3.125068750000002,V
NML,1.5378882459519494,V
NMH,1.8749312499999982,V
Maximum Gain,-6.443849999999969,V/V
TPHL_A,-3.13062969264107e-12,s
TPLH_A,6.163686208400533e-12,s
TPHL_B,-1.79479930060663e-11,s
TPLH_B,1.727309893867975e-11,s
Worst-case TPHL,-3.13062969264107e-12,s
Worst-case TPLH,1.727309893867975e-11,s
Average Delay,5.89540612093229e-13,s
Rise Time,5.498182652771234e-11,s
Fall Time,6.352916051829345e-11,s
Average Current,3.156512623394215e-07,A
Peak Current,5.886031e-05,A
Minimum Current,8.765e-12,A
Average Power,1.5782563116971077e-06,W
Energy / Simulation,7.891281558485538e-14,J
