V2	V(a)	V(out)
0.000000000000000e+00	0.000000e+00	5.000000e+00
1.000000000000000e-02	1.000000e-02	4.999979e+00
2.000000000000000e-02	2.000000e-02	4.999919e+00
3.000000000000000e-02	3.000000e-02	4.999819e+00
4.000000000000000e-02	4.000000e-02	4.999678e+00
5.000000000000000e-02	5.000000e-02	4.999497e+00
6.000000000000000e-02	6.000000e-02	4.999275e+00
7.000000000000001e-02	7.000000e-02	4.999012e+00
8.000000000000000e-02	8.000000e-02	4.998709e+00
9.000000000000000e-02	9.000000e-02	4.998364e+00
1.000000000000000e-01	1.000000e-01	4.997979e+00
1.100000000000000e-01	1.100000e-01	4.997552e+00
1.200000000000000e-01	1.200000e-01	4.997083e+00
1.300000000000000e-01	1.300000e-01	4.996573e+00
1.400000000000000e-01	1.400000e-01	4.996022e+00
1.500000000000000e-01	1.500000e-01	4.995428e+00
1.600000000000000e-01	1.600000e-01	4.994792e+00
1.700000000000000e-01	1.700000e-01	4.994114e+00
1.800000000000000e-01	1.800000e-01	4.993394e+00
1.900000000000000e-01	1.900000e-01	4.992631e+00
2.000000000000000e-01	2.000000e-01	4.991826e+00
2.100000000000000e-01	2.100000e-01	4.990978e+00
2.200000000000000e-01	2.200000e-01	4.990087e+00
2.300000000000000e-01	2.300000e-01	4.989152e+00
2.400000000000000e-01	2.400000e-01	4.988175e+00
2.500000000000000e-01	2.500000e-01	4.987154e+00
2.600000000000000e-01	2.600000e-01	4.986089e+00
2.700000000000000e-01	2.700000e-01	4.984981e+00
2.800000000000000e-01	2.800000e-01	4.983828e+00
2.900000000000000e-01	2.900000e-01	4.982631e+00
3.000000000000000e-01	3.000000e-01	4.981390e+00
3.100000000000000e-01	3.100000e-01	4.980104e+00
3.200000000000000e-01	3.200000e-01	4.978774e+00
3.300000000000000e-01	3.300000e-01	4.977398e+00
3.400000000000000e-01	3.400000e-01	4.975977e+00
3.500000000000000e-01	3.500000e-01	4.974511e+00
3.600000000000000e-01	3.600000e-01	4.973000e+00
3.700000000000000e-01	3.700000e-01	4.971442e+00
3.800000000000000e-01	3.800000e-01	4.969839e+00
3.900000000000000e-01	3.900000e-01	4.968189e+00
4.000000000000000e-01	4.000000e-01	4.966494e+00
4.100000000000000e-01	4.100000e-01	4.964751e+00
4.200000000000000e-01	4.200000e-01	4.962961e+00
4.300000000000000e-01	4.300000e-01	4.961125e+00
4.400000000000000e-01	4.400000e-01	4.959241e+00
4.500000000000000e-01	4.500000e-01	4.957310e+00
4.600000000000000e-01	4.600000e-01	4.955330e+00
4.700000000000000e-01	4.700000e-01	4.953303e+00
4.800000000000000e-01	4.800000e-01	4.951228e+00
4.900000000000000e-01	4.900000e-01	4.949104e+00
5.000000000000000e-01	5.000000e-01	4.946931e+00
5.100000000000000e-01	5.100000e-01	4.944710e+00
5.200000000000000e-01	5.200000e-01	4.942439e+00
5.300000000000000e-01	5.300000e-01	4.940119e+00
5.400000000000000e-01	5.400000e-01	4.937748e+00
5.500000000000000e-01	5.500000e-01	4.935328e+00
5.600000000000001e-01	5.600000e-01	4.932858e+00
5.700000000000001e-01	5.700000e-01	4.930336e+00
5.800000000000000e-01	5.800000e-01	4.927764e+00
5.900000000000000e-01	5.900000e-01	4.925141e+00
6.000000000000000e-01	6.000000e-01	4.922466e+00
6.100000000000000e-01	6.100000e-01	4.919740e+00
6.200000000000000e-01	6.200000e-01	4.916961e+00
6.300000000000000e-01	6.300000e-01	4.914130e+00
6.400000000000000e-01	6.400000e-01	4.911247e+00
6.500000000000000e-01	6.500000e-01	4.908310e+00
6.600000000000000e-01	6.600000e-01	4.905320e+00
6.700000000000000e-01	6.700000e-01	4.902277e+00
6.800000000000000e-01	6.800000e-01	4.899179e+00
6.900000000000001e-01	6.900000e-01	4.896027e+00
7.000000000000001e-01	7.000000e-01	4.892820e+00
7.100000000000000e-01	7.100000e-01	4.889559e+00
7.200000000000000e-01	7.200000e-01	4.886242e+00
7.300000000000000e-01	7.300000e-01	4.882870e+00
7.400000000000000e-01	7.400000e-01	4.879441e+00
7.500000000000000e-01	7.500000e-01	4.875956e+00
7.600000000000000e-01	7.600000e-01	4.872414e+00
7.700000000000000e-01	7.700000e-01	4.868815e+00
7.800000000000000e-01	7.800000e-01	4.865159e+00
7.900000000000000e-01	7.900000e-01	4.861444e+00
8.000000000000000e-01	8.000000e-01	4.857671e+00
8.100000000000001e-01	8.100000e-01	4.853839e+00
8.200000000000001e-01	8.200000e-01	4.849948e+00
8.300000000000001e-01	8.300000e-01	4.845997e+00
8.400000000000000e-01	8.400000e-01	4.841987e+00
8.500000000000000e-01	8.500000e-01	4.837916e+00
8.600000000000000e-01	8.600000e-01	4.833784e+00
8.700000000000000e-01	8.700000e-01	4.829590e+00
8.800000000000000e-01	8.800000e-01	4.825335e+00
8.900000000000000e-01	8.900000e-01	4.821018e+00
9.000000000000000e-01	9.000000e-01	4.816638e+00
9.100000000000000e-01	9.100000e-01	4.812194e+00
9.200000000000000e-01	9.200000e-01	4.807687e+00
9.300000000000000e-01	9.300000e-01	4.803115e+00
9.400000000000001e-01	9.400000e-01	4.798479e+00
9.500000000000001e-01	9.500000e-01	4.793777e+00
9.600000000000000e-01	9.600000e-01	4.789011e+00
9.700000000000000e-01	9.700000e-01	4.784177e+00
9.800000000000000e-01	9.800000e-01	4.779276e+00
9.900000000000000e-01	9.900000e-01	4.774309e+00
1.000000000000000e+00	1.000000e+00	4.769273e+00
1.010000000000000e+00	1.010000e+00	4.764168e+00
1.020000000000000e+00	1.020000e+00	4.758995e+00
1.030000000000000e+00	1.030000e+00	4.753752e+00
1.040000000000000e+00	1.040000e+00	4.748438e+00
1.050000000000000e+00	1.050000e+00	4.743053e+00
1.060000000000000e+00	1.060000e+00	4.737597e+00
1.070000000000000e+00	1.070000e+00	4.732069e+00
1.080000000000000e+00	1.080000e+00	4.726468e+00
1.090000000000000e+00	1.090000e+00	4.720793e+00
1.100000000000000e+00	1.100000e+00	4.715044e+00
1.110000000000000e+00	1.110000e+00	4.709220e+00
1.120000000000000e+00	1.120000e+00	4.703321e+00
1.130000000000000e+00	1.130000e+00	4.697345e+00
1.140000000000000e+00	1.140000e+00	4.691292e+00
1.150000000000000e+00	1.150000e+00	4.685161e+00
1.160000000000000e+00	1.160000e+00	4.678952e+00
1.170000000000000e+00	1.170000e+00	4.672663e+00
1.180000000000000e+00	1.180000e+00	4.666294e+00
1.190000000000000e+00	1.190000e+00	4.659844e+00
1.200000000000000e+00	1.200000e+00	4.653313e+00
1.210000000000000e+00	1.210000e+00	4.646698e+00
1.220000000000000e+00	1.220000e+00	4.640000e+00
1.230000000000000e+00	1.230000e+00	4.633218e+00
1.240000000000000e+00	1.240000e+00	4.626351e+00
1.250000000000000e+00	1.250000e+00	4.619397e+00
1.260000000000000e+00	1.260000e+00	4.612356e+00
1.270000000000000e+00	1.270000e+00	4.605227e+00
1.280000000000000e+00	1.280000e+00	4.598010e+00
1.290000000000000e+00	1.290000e+00	4.590702e+00
1.300000000000000e+00	1.300000e+00	4.583302e+00
1.310000000000000e+00	1.310000e+00	4.575811e+00
1.320000000000000e+00	1.320000e+00	4.568226e+00
1.330000000000000e+00	1.330000e+00	4.560548e+00
1.340000000000000e+00	1.340000e+00	4.552773e+00
1.350000000000000e+00	1.350000e+00	4.544903e+00
1.360000000000000e+00	1.360000e+00	4.536934e+00
1.370000000000000e+00	1.370000e+00	4.528867e+00
1.380000000000000e+00	1.380000e+00	4.520700e+00
1.390000000000000e+00	1.390000e+00	4.512430e+00
1.400000000000000e+00	1.400000e+00	4.504059e+00
1.410000000000000e+00	1.410000e+00	4.495583e+00
1.420000000000000e+00	1.420000e+00	4.487002e+00
1.430000000000000e+00	1.430000e+00	4.478314e+00
1.440000000000000e+00	1.440000e+00	4.469519e+00
1.450000000000000e+00	1.450000e+00	4.460613e+00
1.460000000000000e+00	1.460000e+00	4.451597e+00
1.470000000000000e+00	1.470000e+00	4.442468e+00
1.480000000000000e+00	1.480000e+00	4.433224e+00
1.490000000000000e+00	1.490000e+00	4.423865e+00
1.500000000000000e+00	1.500000e+00	4.414389e+00
1.510000000000000e+00	1.510000e+00	4.404793e+00
1.520000000000000e+00	1.520000e+00	4.395077e+00
1.530000000000000e+00	1.530000e+00	4.385238e+00
1.540000000000000e+00	1.540000e+00	4.375275e+00
1.550000000000000e+00	1.550000e+00	4.365185e+00
1.560000000000000e+00	1.560000e+00	4.354967e+00
1.570000000000000e+00	1.570000e+00	4.344618e+00
1.580000000000000e+00	1.580000e+00	4.334138e+00
1.590000000000000e+00	1.590000e+00	4.323523e+00
1.600000000000000e+00	1.600000e+00	4.312771e+00
1.610000000000000e+00	1.610000e+00	4.301881e+00
1.620000000000000e+00	1.620000e+00	4.290850e+00
1.630000000000000e+00	1.630000e+00	4.279675e+00
1.640000000000000e+00	1.640000e+00	4.268354e+00
1.650000000000000e+00	1.650000e+00	4.256885e+00
1.660000000000000e+00	1.660000e+00	4.245265e+00
1.670000000000000e+00	1.670000e+00	4.233490e+00
1.680000000000000e+00	1.680000e+00	4.221560e+00
1.690000000000000e+00	1.690000e+00	4.209471e+00
1.700000000000000e+00	1.700000e+00	4.197219e+00
1.710000000000000e+00	1.710000e+00	4.184802e+00
1.720000000000000e+00	1.720000e+00	4.172217e+00
1.730000000000000e+00	1.730000e+00	4.159460e+00
1.740000000000000e+00	1.740000e+00	4.146528e+00
1.750000000000000e+00	1.750000e+00	4.133418e+00
1.760000000000000e+00	1.760000e+00	4.120125e+00
1.770000000000000e+00	1.770000e+00	4.106647e+00
1.780000000000000e+00	1.780000e+00	4.092979e+00
1.790000000000000e+00	1.790000e+00	4.079118e+00
1.800000000000000e+00	1.800000e+00	4.065059e+00
