Vin	V(vin)	V(vout)
0.000000000000000e+00	0.000000e+00	5.000000e+00
1.000000000000000e-02	1.000000e-02	5.000000e+00
2.000000000000000e-02	2.000000e-02	5.000000e+00
3.000000000000000e-02	3.000000e-02	5.000000e+00
4.000000000000000e-02	4.000000e-02	5.000000e+00
5.000000000000000e-02	5.000000e-02	5.000000e+00
6.000000000000000e-02	6.000000e-02	5.000000e+00
7.000000000000001e-02	7.000000e-02	5.000000e+00
8.000000000000000e-02	8.000000e-02	5.000000e+00
9.000000000000000e-02	9.000000e-02	5.000000e+00
1.000000000000000e-01	1.000000e-01	5.000000e+00
1.100000000000000e-01	1.100000e-01	5.000000e+00
1.200000000000000e-01	1.200000e-01	5.000000e+00
1.300000000000000e-01	1.300000e-01	5.000000e+00
1.400000000000000e-01	1.400000e-01	5.000000e+00
1.500000000000000e-01	1.500000e-01	5.000000e+00
1.600000000000000e-01	1.600000e-01	5.000000e+00
1.700000000000000e-01	1.700000e-01	5.000000e+00
1.800000000000000e-01	1.800000e-01	5.000000e+00
1.900000000000000e-01	1.900000e-01	5.000000e+00
2.000000000000000e-01	2.000000e-01	5.000000e+00
2.100000000000000e-01	2.100000e-01	5.000000e+00
2.200000000000000e-01	2.200000e-01	5.000000e+00
2.300000000000000e-01	2.300000e-01	5.000000e+00
2.400000000000000e-01	2.400000e-01	5.000000e+00
2.500000000000000e-01	2.500000e-01	5.000000e+00
2.600000000000000e-01	2.600000e-01	5.000000e+00
2.700000000000000e-01	2.700000e-01	5.000000e+00
2.800000000000000e-01	2.800000e-01	5.000000e+00
2.900000000000000e-01	2.900000e-01	5.000000e+00
3.000000000000000e-01	3.000000e-01	5.000000e+00
3.100000000000000e-01	3.100000e-01	5.000000e+00
3.200000000000000e-01	3.200000e-01	5.000000e+00
3.300000000000000e-01	3.300000e-01	5.000000e+00
3.400000000000000e-01	3.400000e-01	5.000000e+00
3.500000000000000e-01	3.500000e-01	5.000000e+00
3.600000000000000e-01	3.600000e-01	5.000000e+00
3.700000000000000e-01	3.700000e-01	5.000000e+00
3.800000000000000e-01	3.800000e-01	5.000000e+00
3.900000000000000e-01	3.900000e-01	5.000000e+00
4.000000000000000e-01	4.000000e-01	5.000000e+00
4.100000000000000e-01	4.100000e-01	5.000000e+00
4.200000000000000e-01	4.200000e-01	5.000000e+00
4.300000000000000e-01	4.300000e-01	5.000000e+00
4.400000000000000e-01	4.400000e-01	5.000000e+00
4.500000000000000e-01	4.500000e-01	5.000000e+00
4.600000000000000e-01	4.600000e-01	5.000000e+00
4.700000000000000e-01	4.700000e-01	5.000000e+00
4.800000000000000e-01	4.800000e-01	5.000000e+00
4.900000000000000e-01	4.900000e-01	5.000000e+00
5.000000000000000e-01	5.000000e-01	5.000000e+00
5.100000000000000e-01	5.100000e-01	5.000000e+00
5.200000000000000e-01	5.200000e-01	5.000000e+00
5.300000000000000e-01	5.300000e-01	5.000000e+00
5.400000000000000e-01	5.400000e-01	5.000000e+00
5.500000000000000e-01	5.500000e-01	5.000000e+00
5.600000000000001e-01	5.600000e-01	5.000000e+00
5.700000000000001e-01	5.700000e-01	5.000000e+00
5.800000000000000e-01	5.800000e-01	5.000000e+00
5.900000000000000e-01	5.900000e-01	5.000000e+00
6.000000000000000e-01	6.000000e-01	5.000000e+00
6.100000000000000e-01	6.100000e-01	5.000000e+00
6.200000000000000e-01	6.200000e-01	5.000000e+00
6.300000000000000e-01	6.300000e-01	5.000000e+00
6.400000000000000e-01	6.400000e-01	5.000000e+00
6.500000000000000e-01	6.500000e-01	5.000000e+00
6.600000000000000e-01	6.600000e-01	5.000000e+00
6.700000000000000e-01	6.700000e-01	5.000000e+00
6.800000000000000e-01	6.800000e-01	5.000000e+00
6.900000000000001e-01	6.900000e-01	5.000000e+00
7.000000000000001e-01	7.000000e-01	5.000000e+00
7.100000000000000e-01	7.100000e-01	4.999963e+00
7.200000000000000e-01	7.200000e-01	4.999853e+00
7.300000000000000e-01	7.300000e-01	4.999667e+00
7.400000000000000e-01	7.400000e-01	4.999407e+00
7.500000000000000e-01	7.500000e-01	4.999070e+00
7.600000000000000e-01	7.600000e-01	4.998657e+00
7.700000000000000e-01	7.700000e-01	4.998168e+00
7.800000000000000e-01	7.800000e-01	4.997599e+00
7.900000000000000e-01	7.900000e-01	4.996953e+00
8.000000000000000e-01	8.000000e-01	4.996227e+00
8.100000000000001e-01	8.100000e-01	4.995421e+00
8.200000000000001e-01	8.200000e-01	4.994534e+00
8.300000000000001e-01	8.300000e-01	4.993567e+00
8.400000000000000e-01	8.400000e-01	4.992517e+00
8.500000000000000e-01	8.500000e-01	4.991384e+00
8.600000000000000e-01	8.600000e-01	4.990166e+00
8.700000000000000e-01	8.700000e-01	4.988865e+00
8.800000000000000e-01	8.800000e-01	4.987478e+00
8.900000000000000e-01	8.900000e-01	4.986004e+00
9.000000000000000e-01	9.000000e-01	4.984444e+00
9.100000000000000e-01	9.100000e-01	4.982796e+00
9.200000000000000e-01	9.200000e-01	4.981059e+00
9.300000000000000e-01	9.300000e-01	4.979232e+00
9.400000000000001e-01	9.400000e-01	4.977314e+00
9.500000000000001e-01	9.500000e-01	4.975305e+00
9.600000000000000e-01	9.600000e-01	4.973204e+00
9.700000000000000e-01	9.700000e-01	4.971008e+00
9.800000000000000e-01	9.800000e-01	4.968719e+00
9.900000000000000e-01	9.900000e-01	4.966333e+00
1.000000000000000e+00	1.000000e+00	4.963851e+00
1.010000000000000e+00	1.010000e+00	4.961272e+00
1.020000000000000e+00	1.020000e+00	4.958594e+00
1.030000000000000e+00	1.030000e+00	4.955816e+00
1.040000000000000e+00	1.040000e+00	4.952937e+00
1.050000000000000e+00	1.050000e+00	4.949956e+00
1.060000000000000e+00	1.060000e+00	4.946871e+00
1.070000000000000e+00	1.070000e+00	4.943682e+00
1.080000000000000e+00	1.080000e+00	4.940388e+00
1.090000000000000e+00	1.090000e+00	4.936986e+00
1.100000000000000e+00	1.100000e+00	4.933476e+00
1.110000000000000e+00	1.110000e+00	4.929856e+00
1.120000000000000e+00	1.120000e+00	4.926126e+00
1.130000000000000e+00	1.130000e+00	4.922282e+00
1.140000000000000e+00	1.140000e+00	4.918325e+00
1.150000000000000e+00	1.150000e+00	4.914253e+00
1.160000000000000e+00	1.160000e+00	4.910064e+00
1.170000000000000e+00	1.170000e+00	4.905756e+00
1.180000000000000e+00	1.180000e+00	4.901330e+00
1.190000000000000e+00	1.190000e+00	4.896780e+00
1.200000000000000e+00	1.200000e+00	4.892108e+00
1.210000000000000e+00	1.210000e+00	4.887311e+00
1.220000000000000e+00	1.220000e+00	4.882388e+00
1.230000000000000e+00	1.230000e+00	4.877336e+00
1.240000000000000e+00	1.240000e+00	4.872153e+00
1.250000000000000e+00	1.250000e+00	4.866839e+00
1.260000000000000e+00	1.260000e+00	4.861390e+00
1.270000000000000e+00	1.270000e+00	4.855805e+00
1.280000000000000e+00	1.280000e+00	4.850082e+00
1.290000000000000e+00	1.290000e+00	4.844219e+00
1.300000000000000e+00	1.300000e+00	4.838213e+00
1.310000000000000e+00	1.310000e+00	4.832062e+00
1.320000000000000e+00	1.320000e+00	4.825764e+00
1.330000000000000e+00	1.330000e+00	4.819316e+00
1.340000000000000e+00	1.340000e+00	4.812717e+00
1.350000000000000e+00	1.350000e+00	4.805963e+00
1.360000000000000e+00	1.360000e+00	4.799052e+00
1.370000000000000e+00	1.370000e+00	4.791980e+00
1.380000000000000e+00	1.380000e+00	4.784747e+00
1.390000000000000e+00	1.390000e+00	4.777347e+00
1.400000000000000e+00	1.400000e+00	4.769779e+00
1.410000000000000e+00	1.410000e+00	4.762039e+00
1.420000000000000e+00	1.420000e+00	4.754124e+00
1.430000000000000e+00	1.430000e+00	4.746031e+00
1.440000000000000e+00	1.440000e+00	4.737756e+00
1.450000000000000e+00	1.450000e+00	4.729296e+00
1.460000000000000e+00	1.460000e+00	4.720646e+00
1.470000000000000e+00	1.470000e+00	4.711804e+00
1.480000000000000e+00	1.480000e+00	4.702765e+00
1.490000000000000e+00	1.490000e+00	4.693525e+00
1.500000000000000e+00	1.500000e+00	4.684080e+00
1.510000000000000e+00	1.510000e+00	4.674425e+00
1.520000000000000e+00	1.520000e+00	4.664555e+00
1.530000000000000e+00	1.530000e+00	4.654466e+00
1.540000000000000e+00	1.540000e+00	4.644152e+00
1.550000000000000e+00	1.550000e+00	4.633608e+00
1.560000000000000e+00	1.560000e+00	4.622829e+00
1.570000000000000e+00	1.570000e+00	4.611810e+00
1.580000000000000e+00	1.580000e+00	4.600543e+00
1.590000000000000e+00	1.590000e+00	4.589022e+00
1.600000000000000e+00	1.600000e+00	4.577241e+00
1.610000000000000e+00	1.610000e+00	4.565193e+00
1.620000000000000e+00	1.620000e+00	4.552871e+00
1.630000000000000e+00	1.630000e+00	4.540267e+00
1.640000000000000e+00	1.640000e+00	4.527372e+00
1.650000000000000e+00	1.650000e+00	4.514179e+00
1.660000000000000e+00	1.660000e+00	4.500678e+00
1.670000000000000e+00	1.670000e+00	4.486860e+00
1.680000000000000e+00	1.680000e+00	4.472715e+00
1.690000000000000e+00	1.690000e+00	4.458232e+00
1.700000000000000e+00	1.700000e+00	4.443401e+00
1.710000000000000e+00	1.710000e+00	4.428209e+00
1.720000000000000e+00	1.720000e+00	4.412643e+00
1.730000000000000e+00	1.730000e+00	4.396690e+00
1.740000000000000e+00	1.740000e+00	4.380337e+00
1.750000000000000e+00	1.750000e+00	4.363567e+00
1.760000000000000e+00	1.760000e+00	4.346364e+00
1.770000000000000e+00	1.770000e+00	4.328712e+00
1.780000000000000e+00	1.780000e+00	4.310589e+00
1.790000000000000e+00	1.790000e+00	4.291978e+00
1.800000000000000e+00	1.800000e+00	4.272856e+00
1.810000000000000e+00	1.810000e+00	4.253198e+00
1.820000000000000e+00	1.820000e+00	4.232981e+00
1.830000000000000e+00	1.830000e+00	4.212175e+00
1.840000000000000e+00	1.840000e+00	4.190751e+00
1.850000000000000e+00	1.850000e+00	4.168675e+00
1.860000000000000e+00	1.860000e+00	4.145912e+00
1.870000000000000e+00	1.870000e+00	4.122420e+00
1.880000000000000e+00	1.880000e+00	4.098156e+00
1.890000000000000e+00	1.890000e+00	4.073071e+00
